filename,width,height,class,xmin,ymin,xmax,ymax
aug_gate_20.jpg,955,600,small_gate,21.300613,0.0,543.6896,440.3421
aug_gate_52.jpg,955,600,total_gate,115.34372,141.5627,633.7484,409.25632
aug_gate_52.jpg,955,600,big_gate,118.82685,153.75697,427.08316,408.09497
aug_gate_52.jpg,955,600,small_gate,399.21817,146.20815,627.94324,389.51318
aug_gate_84.jpg,1067,600,small_gate,271.22864,244.55556,658.5719,559.55554
aug_gate_116.jpg,955,600,big_gate,575.0463,111.40534,955.0,437.71695
aug_gate_148.jpg,1067,600,small_gate,72.02547,69.02248,316.88,357.57178
aug_gate_148.jpg,1067,600,big_gate,254.71075,20.842255,577.4741,372.3999
aug_gate_23.jpg,955,600,small_gate,399.97107,111.73685,955.0,600.0
aug_gate_55.jpg,955,600,small_gate,532.13293,170.75935,699.0597,350.16257
aug_gate_55.jpg,955,600,big_gate,339.4391,178.76706,555.8105,376.19232
aug_gate_55.jpg,955,600,total_gate,342.23575,173.65675,700.44196,372.35864
aug_gate_87.jpg,1067,600,small_gate,710.3099,119.0,1065.9766,498.44446
aug_gate_87.jpg,1067,600,big_gate,341.30573,116.77778,743.0979,412.8889
aug_gate_87.jpg,1067,600,total_gate,340.19427,125.66667,1062.0864,492.3333
aug_gate_119.jpg,955,600,small_gate,441.49017,97.69737,808.4943,469.2434
aug_gate_151.jpg,1067,600,small_gate,188.3922,86.66667,406.79373,346.6667
aug_gate_151.jpg,1067,600,big_gate,381.78592,85.55556,671.3208,408.33334
aug_gate_26.jpg,955,600,small_gate,148.47882,30.098684,728.58215,532.4013
aug_gate_58.jpg,955,600,small_gate,214.57903,111.51316,702.9313,517.5987
aug_gate_90.jpg,1067,600,small_gate,533.5,85.55556,852.4885,433.3333
aug_gate_90.jpg,1067,600,big_gate,138.93225,78.88889,551.2833,394.44443
aug_gate_90.jpg,1067,600,total_gate,137.8208,84.44444,852.4885,429.44446
aug_gate_122.jpg,955,600,small_gate,202.24689,20.723684,688.62604,524.0132
aug_gate_154.jpg,1067,600,small_gate,160.34453,27.007168,713.5904,452.42697
aug_gate_61.jpg,1067,600,total_gate,442.91614,213.33334,718.0021,352.7778
aug_gate_93.jpg,1067,600,small_gate,343.30103,245.44444,662.28955,592.6666
aug_gate_93.jpg,1067,600,big_gate,641.1719,238.77777,1057.9688,564.3334
aug_gate_93.jpg,1067,600,total_gate,340.5224,243.77777,1060.1917,591.55554
aug_gate_125.jpg,955,600,small_gate,162.53056,56.327187,688.25775,492.01505
aug_gate_0.jpg,999,600,total_gate,298.47763,121.938126,715.27515,355.17166
aug_gate_32.jpg,955,600,small_gate,350.06662,0.0,955.0,600.0
