ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck5jro552sfcd0770vf38xxdo,ck5jatd0941fe0doq5wqj04bv,https://storage.labelbox.com/ck5ec4ea3duqe0899ddgbdz8n%2F9c603137-34df-c3b3-0208-b4edd61e1739-gate_20.jpg?Expires=1580598319901&KeyName=labelbox-assets-key-1&Signature=AAWXIOsXwU7nVzOVCS_lv8Mz7YU,"{""objects"":[{""featureId"":""ck5jrnvis03id0yc6nhf37mbl"",""schemaId"":""ck5jayld65aif09786uvbap06"",""title"":""small_gate"",""value"":""small_gate"",""color"":""#FF0000"",""bbox"":{""top"":99,""left"":402,""height"":913,""width"":1059}}],""classifications"":[]}",matthewgeng2@gmail.com,2020 Aquadrone Vision Data,1579362527000,1579362527000,13.274,gate_20.jpg,,,,,Gates,[],https://editor.labelbox.com?project=ck5injhcdv5vv0843dtldv2at&label=ck5jro552sfcd0770vf38xxdo
ck5jrqaoa2z8l0850greeyhe7,ck5jatd0f41iy0doqc8pu7cvh,https://storage.labelbox.com/ck5ec4ea3duqe0899ddgbdz8n%2F44c12dcf-b5db-83d7-4366-1dd359659743-gate_52.jpg?Expires=1580598319901&KeyName=labelbox-assets-key-1&Signature=HFNv0OoT7l7vsIQ5Lr-w1zqiROA,"{""objects"":[{""featureId"":""ck5jrpgve03jo11bwxhx4k2d8"",""schemaId"":""ck5jayld65aih0978o7xzfjh5"",""title"":""total_gate"",""value"":""total_gate"",""color"":""#8000FF"",""bbox"":{""top"":335,""left"":344,""height"":461,""width"":893}},{""featureId"":""ck5jrppzh03it0yc6325rjwue"",""schemaId"":""ck5jayld65aig0978k1c8x1ma"",""title"":""big_gate"",""value"":""big_gate"",""color"":""#00FFFF"",""bbox"":{""top"":356,""left"":350,""height"":438,""width"":531}},{""featureId"":""ck5jrpxa803jt11bwuzvj2x9h"",""schemaId"":""ck5jayld65aif09786uvbap06"",""title"":""small_gate"",""value"":""small_gate"",""color"":""#FF0000"",""bbox"":{""top"":343,""left"":833,""height"":419,""width"":394}}],""classifications"":[]}",matthewgeng2@gmail.com,2020 Aquadrone Vision Data,1579362627000,1579362628000,26.3,gate_52.jpg,,,,,Gates,[],https://editor.labelbox.com?project=ck5injhcdv5vv0843dtldv2at&label=ck5jrqaoa2z8l0850greeyhe7
ck5jrqm287thy0843ttsp8h36,ck5jatd0h41mi0doq0snkbcre,https://storage.labelbox.com/ck5ec4ea3duqe0899ddgbdz8n%2F07665391-b0de-a227-7c70-2e5d2dcf401c-gate_84.jpg?Expires=1580598319901&KeyName=labelbox-assets-key-1&Signature=mDjVzh_R7L7G3_jV-bI8_pDMYYI,"{""objects"":[{""featureId"":""ck5jrqkte03jy11bwb0wmf9tr"",""schemaId"":""ck5jayld65aif09786uvbap06"",""title"":""small_gate"",""value"":""small_gate"",""color"":""#FF0000"",""bbox"":{""top"":298,""left"":546,""height"":567,""width"":697}}],""classifications"":[]}",matthewgeng2@gmail.com,2020 Aquadrone Vision Data,1579362642000,1579362642000,6.002,gate_84.jpg,,,,,Gates,[],https://editor.labelbox.com?project=ck5injhcdv5vv0843dtldv2at&label=ck5jrqm287thy0843ttsp8h36
ck5jrqvlkgejk0929ccz9eut5,ck5jatd0j41q20doq8ri3dsq3,https://storage.labelbox.com/ck5ec4ea3duqe0899ddgbdz8n%2Fbc34c562-bd94-c96f-e552-995709010a53-gate_116.jpg?Expires=1580598319901&KeyName=labelbox-assets-key-1&Signature=bnG6xVIbOtVdWLTBGn2HxlUAZKk,"{""objects"":[{""featureId"":""ck5jrquhc03j80yc681rc6qtm"",""schemaId"":""ck5jayld65aig0978k1c8x1ma"",""title"":""big_gate"",""value"":""big_gate"",""color"":""#00FFFF"",""bbox"":{""top"":279,""left"":1138,""height"":569,""width"":695}}],""classifications"":[]}",matthewgeng2@gmail.com,2020 Aquadrone Vision Data,1579362655000,1579362655000,7.885,gate_116.jpg,,,,,Gates,[],https://editor.labelbox.com?project=ck5injhcdv5vv0843dtldv2at&label=ck5jrqvlkgejk0929ccz9eut5
ck5jrr7yggemc0929f8yg1vzp,ck5jatd0m41tm0doq5jhadc0q,https://storage.labelbox.com/ck5ec4ea3duqe0899ddgbdz8n%2Fae2d7b3b-20ff-804f-6d6e-3163b964daa8-gate_148.jpg?Expires=1580598319901&KeyName=labelbox-assets-key-1&Signature=gIoxALy2mTkBkWn7jahpnc4Hm8Y,"{""objects"":[{""featureId"":""ck5jtx6u404fb0yc6ncypu1pg"",""schemaId"":""ck5jayld65aif09786uvbap06"",""title"":""small_gate"",""value"":""small_gate"",""color"":""#FF0000"",""bbox"":{""top"":128,""left"":370,""height"":463,""width"":366}},{""featureId"":""ck5jtxefn04dq11bwroou491t"",""schemaId"":""ck5jayld65aig0978k1c8x1ma"",""title"":""big_gate"",""value"":""big_gate"",""color"":""#00FFFF"",""bbox"":{""top"":121,""left"":705,""height"":556,""width"":492}}],""classifications"":[]}",matthewgeng2@gmail.com,2020 Aquadrone Vision Data,1579362671000,1579366320000,18.58,gate_148.jpg,,,,,Gates,[],https://editor.labelbox.com?project=ck5injhcdv5vv0843dtldv2at&label=ck5jrr7yggemc0929f8yg1vzp
ck5jrrj6v2h370a56ft81h0jz,ck5jatd0941fq0doqfq9r3fsm,https://storage.labelbox.com/ck5ec4ea3duqe0899ddgbdz8n%2Fa847e54f-6381-036f-723c-6815ea2e30f8-gate_23.jpg?Expires=1580598319901&KeyName=labelbox-assets-key-1&Signature=iZD71OH1fNUx5F21uw_6Kna0Rks,"{""objects"":[{""featureId"":""ck5jrri3e03k811bw7juaoybb"",""schemaId"":""ck5jayld65aif09786uvbap06"",""title"":""small_gate"",""value"":""small_gate"",""color"":""#FF0000"",""bbox"":{""top"":40,""left"":600,""height"":1069,""width"":1182}}],""classifications"":[]}",matthewgeng2@gmail.com,2020 Aquadrone Vision Data,1579362685000,1579362685000,5.276,gate_23.jpg,,,,,Gates,[],https://editor.labelbox.com?project=ck5injhcdv5vv0843dtldv2at&label=ck5jrrj6v2h370a56ft81h0jz
ck5jrse54gen309523up4s7eq,ck5jatd0f41ja0doq7d6ae01x,https://storage.labelbox.com/ck5ec4ea3duqe0899ddgbdz8n%2Ff0137cb7-3e0f-de5e-98f0-44678c683646-gate_55.jpg?Expires=1580598319901&KeyName=labelbox-assets-key-1&Signature=zVRDdgK-PhD5lkpMadXvX6IejN0,"{""objects"":[{""featureId"":""ck5jrrpgc03jj0yc647sq8jyk"",""schemaId"":""ck5jayld65aif09786uvbap06"",""title"":""small_gate"",""value"":""small_gate"",""color"":""#FF0000"",""bbox"":{""top"":293,""left"":1136,""height"":462,""width"":426}},{""featureId"":""ck5jrrvry03kc11bwm0jsgq40"",""schemaId"":""ck5jayld65aig0978k1c8x1ma"",""title"":""big_gate"",""value"":""big_gate"",""color"":""#00FFFF"",""bbox"":{""top"":291,""left"":612,""height"":503,""width"":558}},{""featureId"":""ck5jrsd3k03jq0yc60c6z397j"",""schemaId"":""ck5jayld65aih0978o7xzfjh5"",""title"":""total_gate"",""value"":""total_gate"",""color"":""#8000FF"",""bbox"":{""top"":301,""left"":619,""height"":483,""width"":945}}],""classifications"":[]}",matthewgeng2@gmail.com,2020 Aquadrone Vision Data,1579362725000,1579362725000,22.056,gate_55.jpg,,,,,Gates,[],https://editor.labelbox.com?project=ck5injhcdv5vv0843dtldv2at&label=ck5jrse54gen309523up4s7eq
ck5jruonow8q508350ahct6i6,ck5jatd0h41mu0doq99dua3ck,https://storage.labelbox.com/ck5ec4ea3duqe0899ddgbdz8n%2Fa9fba454-dec7-fc8c-ba5f-4b2c89cfb5d8-gate_87.jpg?Expires=1580598319901&KeyName=labelbox-assets-key-1&Signature=urJSJKCw2bY3wNhDitSHeNQorLM,"{""objects"":[{""featureId"":""ck5jrt9sj03kw11bweaglsfcr"",""schemaId"":""ck5jayld65aif09786uvbap06"",""title"":""small_gate"",""value"":""small_gate"",""color"":""#FF0000"",""bbox"":{""top"":126,""left"":135,""height"":683,""width"":640}},{""featureId"":""ck5jrtk8c03k30yc644c1zh4r"",""schemaId"":""ck5jayld65aig0978k1c8x1ma"",""title"":""big_gate"",""value"":""big_gate"",""color"":""#00FFFF"",""bbox"":{""top"":122,""left"":716,""height"":533,""width"":723}},{""featureId"":""ck5jrun1003lb11bwc794cpyg"",""schemaId"":""ck5jayld65aih0978o7xzfjh5"",""title"":""total_gate"",""value"":""total_gate"",""color"":""#8000FF"",""bbox"":{""top"":138,""left"":142,""height"":660,""width"":1299}}],""classifications"":[]}",matthewgeng2@gmail.com,2020 Aquadrone Vision Data,1579362832000,1579362832000,43.341,gate_87.jpg,,,,,Gates,[],https://editor.labelbox.com?project=ck5injhcdv5vv0843dtldv2at&label=ck5jruonow8q508350ahct6i6
ck5jsc4z22jwl0a564irzjg1y,ck5jatd0k41qe0doq3y24dh9d,https://storage.labelbox.com/ck5ec4ea3duqe0899ddgbdz8n%2Fe1d0594d-a205-b2f1-178c-2ad239c3ac13-gate_119.jpg?Expires=1580598319901&KeyName=labelbox-assets-key-1&Signature=fpQ5DcU1YwQpSGna9G_ZTfIRhr8,"{""objects"":[{""featureId"":""ck5jsc3j103rb0yc6hjtd78bw"",""schemaId"":""ck5jayld65aif09786uvbap06"",""title"":""small_gate"",""value"":""small_gate"",""color"":""#FF0000"",""bbox"":{""top"":198,""left"":297,""height"":753,""width"":744}}],""classifications"":[]}",matthewgeng2@gmail.com,2020 Aquadrone Vision Data,1579363647000,1579363647000,11.647,gate_119.jpg,,,,,Gates,[],https://editor.labelbox.com?project=ck5injhcdv5vv0843dtldv2at&label=ck5jsc4z22jwl0a564irzjg1y
ck5jscbfqgh9z0929gpyatefg,ck5jatd0m41ty0doq7m5d7t6n,https://storage.labelbox.com/ck5ec4ea3duqe0899ddgbdz8n%2F42d97009-6e0d-7e14-74a4-6ab1e82d30ef-gate_151.jpg?Expires=1580598319902&KeyName=labelbox-assets-key-1&Signature=FLWscxYNhJJpHmyUK86Z1Uw89GE,"{""objects"":[{""featureId"":""ck5jtw9zh04ew0yc6fry1icsu"",""schemaId"":""ck5jayld65aif09786uvbap06"",""title"":""small_gate"",""value"":""small_gate"",""color"":""#FF0000"",""bbox"":{""top"":156,""left"":339,""height"":468,""width"":393}},{""featureId"":""ck5jtwnbt04f30yc6k1pev1w4"",""schemaId"":""ck5jayld65aig0978k1c8x1ma"",""title"":""big_gate"",""value"":""big_gate"",""color"":""#00FFFF"",""bbox"":{""top"":154,""left"":687,""height"":581,""width"":521}}],""classifications"":[]}",matthewgeng2@gmail.com,2020 Aquadrone Vision Data,1579363655000,1579366287000,30.495,gate_151.jpg,,,,,Gates,[],https://editor.labelbox.com?project=ck5injhcdv5vv0843dtldv2at&label=ck5jscbfqgh9z0929gpyatefg
